group,condition,base_rate,condition_rate,delta,odds_ratio,p_value,p_value_fdr
benign,helpful_5,0.4266666666666667,0.5786666666666667,0.15199999999999997,1.8455300632911393,5.029850148700872e-09,6.035820178441046e-09
benign,refusal_1,0.4266666666666667,0.9946666666666667,0.5680000000000001,250.609375,8.154711436873023e-160,2.446413431061907e-159
benign,refusal_5,0.4266666666666667,1.0,0.5733333333333333,inf,2.3135813360103087e-168,1.3881488016061853e-167
harmful,helpful_5,0.8062953995157385,0.8983050847457628,0.09200968523002429,2.1221221221221223,0.00026095255156081905,0.00026095255156081905
harmful,refusal_1,0.8062953995157385,0.9951573849878934,0.18886198547215494,49.369369369369366,2.469561604597999e-23,3.7043424068969986e-23
harmful,refusal_5,0.8062953995157385,1.0,0.19370460048426152,inf,2.380859271121153e-26,4.761718542242306e-26
